Hebrew,English
וואו,Wow
אישה,wife
כעת,Now
אליך,You
העולם,the world
יופי,Beauty
שלוש,three
מהם,from them
הערב,this evening
אתמול,Yesterday
הספר,the book
ואם,And if
הראשונה,The first
אתן,you
ספר,Book
חדש,New
מושג,obtained
בוקר,Morning
שעות,Hours
לבית,to house
מזל,luck
להביא,bring
בחוץ,outside
ון,Wen
למטה,down
בשבילי,For me
אלא,But rather
חברים,Friends
היכן,where
למעלה,up
כ,about
כולנו,We're all
מקרה,case
ראית,You saw
ביחד,together
שהיה,Was
עלינו,About us
להישאר,to stay
ערב,evening
כרגע,At the moment
בני,my son
בלילה,At night
תקשיב,Listen
אלו,These
האחרון,the last one
קשר,link
באופן,In a way
ביום,on the day
בקשר,In connection
אעשה,I'll do
בת,a girl
איתה,With her
ימים,Days
מקבל,getting
ומה,And what
בתוך,Inside
השם,the Name
האיש,The man
תפסיק,Stop
לשאול,to ask
והיא,and she
הילד,the boy
ועכשיו,And now
מדוע,why
קח,take
יקרה,dear
סוג,Type
ממנו,from him
עליה,Increase
העיר,The city
העניין,the matter
הפעם,Time
החבר,the friend
הבעיה,The problem
האחרונה,Latest
שיהיה,Have
היחיד,The only one
האלו,Those
לפעמים,sometimes
רעיון,idea
כפי,as
חזרה,return
למען,address
בעוד,while
עומד,standing
שבו,sit
אלי,to me
בנאדם,Man
טובים,Good
חרא,Shit
אליו,to his
מיד,immediately
משחק,Play
צודק,right
בפעם,For the time
הלו,Hello
להיכנס,to enter
עצמי,myself
בעולם,In the world
תורגם,Translated
קטנה,Small
תני,Give
בלתי,non
איזו,Which
לאכול,eat
לעזוב,leave
תראו,Look
בפנים,in
לשמור,Preserve
יהיו,Will
גדולה,greatness
לעצור,to stop
שלושה,three
קל,easy
הילדים,the children
להשיג,to reach
הדלת,The door
הרגע,calm down
אימא,Mama
להבין,to understand
בחדר,In the room
חזק,strong
נורא,Terrible
הי,Hi
רבה,Much
הסיבה,The reason
מחוץ,Outside
הבן,the son
יכולתי,I could
וגם,and also
לכן,so
מתכוונת,Mean
אתכם,you
היחידה,The unit
אמיתי,True
סתם,mere
מרגישה,Feeling
האדם,The person
שאתם,You're
אומרים,They say
חוץ,outside
למות,die
רב,multi
ראש,head
נו,Nu
להתראות,See you
אדירים,Almighty
קרוב,Close
שתי,two
מתה,Died
גרוע,bad
לוקח,Taking
מכל,tank
נראית,Looks
פנים,face
להשתמש,to use
קוראים,Readers
חברה,Society
ממה,From what
הראש,the head
מדהים,Stunning
ילדה,Girl
המשפחה,The family
והם,And they
מצחיק,is funny
חושבים,Think
קיבלתי,I got
מצאתי,Found
נגד,against
לעבור,pass
ליד,next to
שאין,There is no
החברה,The company
לקרוא,to read
לחיות,live
מוכנה,Ready
חמש,five
עלייך,About you
א,A
חיי,My life
פחות,less
באותו,in the same
מפה,from here
הבנתי,got it
לנסות,try
ביי,Bye
ארוחת,Meal
אבי,Avi
נגמר,runs out
שהייתי,I was
בשם,on behalf of
הבוקר,This morning
יוצא,outgoing
מדברים,talking
לשחק,to play
אחרים,others
לפגוש,meet
דם,blood
פעמים,twice
לנצח,Win
תחת,under
חודשים,Months
הבאה,Next
להתחיל,Begin
ואנחנו,And we
הטוב,the good
לגרום,cause
הא,Ah
סיכוי,Chance
להמשיך,continue
לישון,sleep
שמעת,You heard
אהבה,Love
שמישהו,That someone
זונה,whore
שעה,hour
נהיה,yearning
מאשר,than
הגדול,The Great
אותן,them
חצי,Half
בקרוב,soon
תגידי,Say
סיבה,Reason
ס,S.
מחדש,re
לבדוק,to check
נשים,women
חכי,Wait
כשאני,When I
מאמינה,believe
מגניב,Cool
בבוקר,in the morning
שכל,cerebro
מדברת,Talking
לחכות,wait
מתחיל,starting up
פרק,Episode
לכך,To that
שאלה,a question
לקח,Lesson
צוחק,Laughing
בנוגע,Regarding
לשים,to put
מכירה,sale
נותן,gives
אלך,I'll go
חי,live
מעט,A little
המכונית,The car
התכוונתי,I meant
חדשות,news
צוות,Staff
משפחה,Family
זקוק,Need
מתחת,Underneath
להציל,to rescue
גמור,finished
הזדמנות,opportunity
מטורף,crazy
שונה,different
כאלה,Such
מעולה,Excellent
וכל,and all
ויש,And there are
בתור,as a
לפי,as per
ניסיתי,I tired
סיפור,a story
בערך,About
מים,water
לתוך,into
תסתכל,Look
דעתך,your opinion
זוכרת,Remember
יין,wine
שאם,That if
להרגיש,to feel
חוזר,circular
עזרה,help
רציני,serious
עונה,Season
שלומך,You are
אפשרי,possible
מחפש,Looking for
הסיפור,The story
חתיכת,A piece
שכן,Neighbor
המפקד,the commander
מעל,above
הלך,Gone
מלא,full
שאולי,Should you
אנג,Ang
בצורה,In the form
שומע,Hearing
נכנס,Entered
להפסיק,stop
החדש,The new
שווה,Equal
עניין,Interest
פנימה,inside
כיף,fun
חדר,a room
חסר,short
ורג,Andrified
כמוך,Like you
ראשון,First
אסור,forbidden
לקנות,buy
מאד,Very
להתקשר,Contact
מייקל,Michael
בהם,in them
בעבר,In the past
ראה,See
להראות,show
מצב,Situation
ברצינות,seriously
נתראה,see you later
נפלא,Wonderful
מוקדם,early
אינך,You are not
שתיים,two
תדאג,Worry
להגן,protect
כלל,rule
מאיתנו,From us
בחורה,girl
בנות,girls
עבר,Moved
במה,in what
טעות,Mistake
משם,Away
הטלפון,Phone
רצה,Wanted
שקרה,Happened
שזו,That is
להוציא,Remove
כה,so
עצמו,himself
המצב,The situation
למרות,Although
הקטן,Little
עצור,under arrest
מיליון,one million
אקח,I'll take
מסוגל,Able
להאמין,to believe
במקרה,by any chance
ידע,knowledge
שבוע,week
איתנו,Us
נוסף,additional
חדשה,new
רצח,murder
אמרו,They said
איני,I do not
כוח,Force
גברתי,Madam
גורם,Factor
עליהם,on them
לעבודה,for work
מוכנים,Ready
ידעת,Did you know
מאחורי,Behind
ים,sea
האישה,The woman
הכבוד,Honor
מידע,information
שאלות,Questions
לכי,Go
דין,law
בצד,aside
נעים,Pleasant
כשאתה,when you are
באתי,I came
מפני,because
מבטיח,promising
קשור,Related
כשהוא,When he
כדור,ball
שאמרתי,I said
בחיי,In my life
שמחה,joy
קורא,reader
נתן,Nathan
מעבר,transition
תוכלי,You can
מס,tax
חולה,Sick
שונא,Hate
לפה,To the mouth
המשטרה,the police
במיוחד,especially
ימי,maritime
שאוכל,I can
קפטן,Captain
מעניין,interesting
יצא,came out
לאנשים,To people
גברים,Men's
אשר,which
ניתן,You can
בכך,in so doing
ככל,The more
בעיות,Boll
מושלם,perfect
על-ידי,By
בעלי,With
לשתות,drink up
אראה,I'll see
בעל,husband
הלא,The non
אגיד,I'll say
אוהבים,Love
לקרות,To happen
שרה,Sarah
מין,sex
להכיר,get to know
ארבע,Four
אלף,Thousand
להתמודד,to cope
מניחה,Assumes
למקום,To place
קפה,coffee
הבחורה,The girl
אינו,Does not
מייק,Mike
יי,Yi
ישר,Straight
לשבת,to sit down
לעצמי,To myself
בראש,in mind
אידיוט,idiot
מחכה,am waiting
תקשיבי,Listen
נשאר,remaining
פיטר,Peter
הבת,The daughter
אלייך,to you
שניכם,you both
עובדת,Working
לשלם,pay
מן,from
תוך,within
לטפל,handle
לזוז,move
המשחק,The game
באה,Away
עשר,ten
לדאוג,worry
פרנק,franc
שצריך,Needed
אש,fire
ללמוד,Learn
תהיי,Be
למי,whom
מאיפה,From where
לעצמך,To yourself
ממנה,from her
הלב,the heart
לג,Leg
מתוקה,Sweetheart
רוח,Breeze
למישהו,To someone
חג,Holiday
הנשיא,President
ספק,Doubt
דוקטור,Doctor
התחת,Ass
בעיר,In the city
המון,Lots
החולים,Hospital
מוצא,exit
לחפש,to look for
לחלוטין,completely
שהיית,You were
הלוואי,I wish
רד,Red
שמי,My name
רחוק,far away
התיק,the bag
ההוא,that
אנא,please
מילה,Circumcision
חשבת,Thought
הללו,these
אמורה,Supposed
מול,Opposite
אליה,to her
אצל,at
עשינו,We did
הפנים,Interior
שוטר,Cop
שנינו,We both
להחזיר,to return
מערכת,editorial board
מצוות,Commandments
להודות,to thank
שבועות,Weeks
מתוך,of
לתפוס,to fetch
לפגוע,Harm
מיוחד,Special
רוב,majority
לבחור,to choose
ז,G
טיפש,Stupid
אלינו,to us
במצב,In position
אחזור,be back
תעשי,Make
שמה,her name
מכן,Then
התינוק,the baby
שנוכל,We can
להפוך,to flip
אח,brother
בחורים,Guys
יורק,York
נעלם,Disappeared
רואים,Seeing
טום,Tom
מצוין,excellent
לגלות,Discover
לכולם,for everyone
לחדר,To the room
היד,The hand
שמו,His name
בעצמי,myself
יכולת,ability
תחזור,Come back
הנכון,The right
מתים,Dead
טובות,Goods
אביך,hazy
אצטרך,I'll have to
להסביר,explain
מישהי,Someone
הארץ,Country
שאמרת,You said
תביא,Bring
איתם,with them
טלפון,phone
נצטרך,We'll have to
ייתכן,You may
שאנו,That we
השנה,This year
ח,H
הדם,the blood
לשנות,To change
חבל,Too bad
אינני,I do not
כבוד,respect
המשפט,The trial
המוות,Death
רבים,many
צא,go out
באמצע,in the middle of
יעשה,Will
סלח,Forgive
יימס,James
נמצאת,Is found
לרגע,for a moment
החלק,The part
להשאיר,leave
שניות,Seconds
בנו,they built
שנייה,second
חכם,smart
הודעה,message
פני,penny
מידי,from
ליצור,create a
הגיוני,Makes sense
תירגע,cool down
זין,dick
בעצמך,For yourself
לברוח,escape
בעצם,Actually
לבן,white
האקדח,The gun
אכן,indeed
השבוע,This week
יד,Hand
כולכם,All
הנרי,Henry
מצפה,Looking forward to
הרג,killing
אהבתי,I liked
בסוף,at the end
כלב,Dog
